产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
中国农业银行“金钥匙·安心得利”2018年第5640期人民币理财产品,ADSZ185640,4.7%,50000.0,202天
“农银私行·安心得利·灵珑”2018年第51期封闭净值型人民币理财产品（掌银享礼）,AD183142,业绩基准4.65%,1000000.0,147天
“金钥匙·安心得利·灵珑”2018年第12期老客户专享封闭净值型人民币理财产品,AD180229,业绩基准4.55%,50000.0,140天
“安心·灵动·75天”人民币理财产品,ABK150008,2.8%-4.25%,50000.0,最低持有75天
“安心·270天”人民币理财产品,AD141863,业绩基准4.4%,50000.0,270天
“本利丰·181天”人民币理财产品,BF141425,3.3%,50000.0,181天
“本利丰·62天”人民币理财产品,BF141423,3%,50000.0,62天
“金钥匙·汇利丰”2018年第466期人民币结构性存款产品,HF180466,3.5%-3.6%,50000.0,182天
“本利丰·360天”人民币理财产品,BF141427,3.5%,50000.0,360天
“金钥匙·汇利丰”2018年第462期人民币结构性存款产品,HF180462,3.5%-3.6%,50000.0,182天
“本利丰·90天”人民币理财产品,BF141424,3.2%,50000.0,90天
“金钥匙·汇利丰”2018年第465期人民币结构性存款产品,HF180465,3.5%-3.6%,50000.0,182天
“本利丰·34天”人民币理财产品,BF141422,2.95%,50000.0,34天
“金钥匙·汇利丰”2018年第469期人民币结构性存款产品,HF180469,3.5%-3.6%,50000.0,182天
“安心·62天”人民币理财产品,AD141862,业绩基准4.10%,50000.0,62天
中国农业银行“金钥匙·安心得利”2018年第5910期人民币理财产品,ADJS185910,4.05%,50000.0,44天
“安心·360天”人民币理财产品,AD2014360,业绩基准4.5%,50000.0,360天
中国农业银行“金钥匙·安心得利”2018年第5913期人民币理财产品,ADJS185913,4.3%,50000.0,119天
安心快线天天利滚利第２期,AXKXTT2,业绩基准3%,50000.0,1826天
中国农业银行“金钥匙·安心得利”2018年第5911期人民币理财产品,ADJS185911,4.12%,50000.0,64天
中国农业银行“金钥匙·安心得利”2018年第5912期人民币理财产品,ADJS185912,4.22%,50000.0,80天
中国农业银行“金钥匙·安心得利”2018年第6113期人民币理财产品,ADZJ186113,4.5%,50000.0,149天
中国农业银行“金钥匙·安心得利”2018年第6112期人民币理财产品,ADZJ186112,4.45%,50000.0,119天
“金钥匙·安心得利·９０天”人民币理财产品,AD2012090,业绩基准4.25%,50000.0,90天
“金钥匙·安心得利·１８１天”人民币理财产品,AD2012181,业绩基准4.35%,50000.0,181天
“金钥匙·安心得利·３４天”人民币理财产品,AD2012034,业绩基准4%,50000.0,34天
中国农业银行“金钥匙·安心得利”2018年第6114期人民币理财产品,ADZJ186114,4.6%,50000.00,245天
“金钥匙·安心快线·时时付”开放式人民币理财产品,AKSSF1,业绩基准3.5%,50000.00,3642天
“金钥匙·如意组合·90天”看涨黄金人民币理财产品,ADRY178090A,3.5%-4.8%,50000.00,90天
“金钥匙·如意组合·181天”看跌黄金人民币理财产品,ADRY178181B,4%-4.65%,50000.00,181天
“金钥匙·如意组合·90天”看跌黄金人民币理财产品,ADRY178090B,3.5%-4.8%,50000.00,90天
“金钥匙·如意组合·181天”看涨黄金人民币理财产品,ADRY178181A,4%-4.65%,50000.00,181天
“金钥匙·如意组合·90天”沪深300指数到期宽幅波动人民币理财产品,ADRY176090A,3%-5%,50000.00,90天
“金钥匙·如意组合·62天”沪深300指数到期宽幅波动人民币理财产品,ADRY176062A,3%-4.9%,50000.00,62天
“金钥匙·如意组合·62天”沪深300指数到期窄幅波动人民币理财产品,ADRY176062B,3%-4.9%,50000.00,62天
“金钥匙·如意组合·90天”沪深300指数到期窄幅波动人民币理财产品,ADRY176090B,3%-5%,50000.00,90天
“金钥匙·如意组合·62天”黄金到期宽幅波动人民币理财产品,ADRY178062A,3.5%-4.3%,50000.00,62天
“金钥匙·如意组合·62天”黄金到期窄幅波动人民币理财产品,ADRY178062B,3.5%-4.3%,50000.00,62天
“金钥匙·如意组合·34天”看跌黄金人民币理财产品,ADRY178034B,3%-4.8%,50000.00,34天
“金钥匙·如意组合·34天”看涨黄金人民币理财产品,ADRY178034A,3%-4.8%,50000.00,34天
